,employment_level_in_thousands,Date,unemployment_level_in_thousands,us_spend_in_millions,mining_income_in_millions,hha_net_worth_in_millions,hha_net_worth/dpi,hha_total_assets_in_millions,hha_total_assets/dpi,downturn
145,63871,1960-02-01,3886,82295.33333333333,6757.666666666667,2030436.6666666667,544.6333333333333,2240349.0,600.9366666666666,0
146,63607,1960-03-01,4164,82740.66666666667,6847.333333333333,2036445.3333333333,544.1266666666667,2248644.0,600.8233333333334,0
147,65450,1960-04-01,3607,83186.0,6937.0,2042454.0,543.62,2256939.0,600.71,1
148,66342,1960-05-01,3380,83983.66666666667,6930.333333333333,2040892.0,542.1833333333333,2256904.3333333335,599.57,1
149,67288,1960-06-01,4172,84781.33333333333,6923.666666666667,2039330.0,540.7466666666667,2256869.6666666665,598.43,1
150,67239,1960-07-01,3884,85579.0,6917.0,2037768.0,539.31,2256835.0,597.29,1
151,67004,1960-08-01,3711,86203.0,6929.0,2055529.6666666667,543.2766666666666,2276424.3333333335,601.66,1
152,66892,1960-09-01,3315,86827.0,6941.0,2073291.3333333333,547.2433333333333,2296013.6666666665,606.03,1
153,66563,1960-10-01,3537,87451.0,6953.0,2091053.0,551.21,2315603.0,610.4,1
154,66394,1960-11-01,3967,87164.33333333333,6909.333333333333,2107895.0,553.5433333333334,2332698.6666666665,612.58,1
155,65287,1960-12-01,4470,86877.66666666667,6865.666666666667,2124737.0,555.8766666666667,2349794.3333333335,614.76,1
156,63797,1961-01-01,5335,86591.0,6822.0,2141579.0,558.21,2366890.0,616.94,1
157,63869,1961-02-01,5654,87308.33333333333,6830.333333333333,2149139.6666666665,557.39,2376517.6666666665,616.36,1
158,64700,1961-03-01,5423,88025.66666666667,6838.666666666667,2156700.3333333335,556.57,2386145.3333333335,615.7800000000001,0
159,64957,1961-04-01,4887,88743.0,6847.0,2164261.0,555.75,2395773.0,615.2,0
160,65831,1961-05-01,4671,89199.0,6910.333333333333,2176416.6666666665,555.7333333333333,2409353.6666666665,615.21,0
161,67151,1961-06-01,5313,89655.0,6973.666666666667,2188572.3333333335,555.7166666666667,2422934.3333333335,615.22,0
162,66911,1961-07-01,4961,90111.0,7037.0,2200728.0,555.7,2436515.0,615.23,0
163,67028,1961-08-01,4440,90712.0,7060.0,2219389.6666666665,556.58,2457552.0,616.2966666666666,0
164,66036,1961-09-01,4034,91313.0,7083.0,2238051.3333333335,557.46,2478589.0,617.3633333333333,0
165,66786,1961-10-01,3863,91914.0,7106.0,2256713.0,558.34,2499626.0,618.43,0
166,66348,1961-11-01,3941,92994.33333333333,7064.666666666667,2261026.0,556.78,2504381.3333333335,616.6999999999999,0
167,65531,1961-12-01,4041,94074.66666666667,7023.333333333333,2265339.0,555.22,2509136.6666666665,614.97,0
168,64215,1962-01-01,4621,95155.0,6982.0,2269652.0,553.66,2513892.0,613.24,0
169,64872,1962-02-01,4481,95627.33333333333,6940.333333333333,2237976.6666666665,543.43,2484583.0,603.2966666666666,0
170,65421,1962-03-01,4323,96099.66666666667,6898.666666666667,2206301.3333333335,533.2,2455274.0,593.3533333333334,0
171,65957,1962-04-01,3863,96572.0,6857.0,2174626.0,522.97,2425965.0,583.41,0
172,67066,1962-05-01,3592,97361.0,6822.0,2187786.6666666665,524.7133333333334,2441197.3333333335,585.4866666666667,0
173,67852,1962-06-01,4219,98150.0,6787.0,2200947.3333333335,526.4566666666667,2456429.6666666665,587.5633333333333,0
174,67849,1962-07-01,3829,98939.0,6752.0,2214108.0,528.2,2471662.0,589.64,0
175,68096,1962-08-01,3842,99323.66666666667,6784.0,2249137.6666666665,534.3766666666667,2509190.0,596.1633333333333,0
176,67621,1962-09-01,3455,99708.33333333333,6816.0,2284167.3333333335,540.5533333333334,2546718.0,602.6866666666667,0
177,67850,1962-10-01,3234,100093.0,6848.0,2319197.0,546.73,2584246.0,609.21,0
178,67046,1962-11-01,3726,100218.66666666667,6890.333333333333,2330658.3333333335,547.3133333333334,2596677.3333333335,609.7833333333333,0
179,66585,1962-12-01,3760,100344.33333333333,6932.666666666667,2342119.6666666665,547.8966666666666,2609108.6666666665,610.3566666666667,0
180,65168,1963-01-01,4627,100470.0,6975.0,2353581.0,548.48,2621540.0,610.93,0
181,65519,1963-02-01,4870,100506.66666666667,7083.666666666667,2364322.0,549.0066666666667,2635453.3333333335,611.9633333333333,0
182,66329,1963-03-01,4442,100543.33333333333,7192.333333333333,2375063.0,549.5333333333333,2649366.6666666665,612.9966666666667,0
183,67240,1963-04-01,3993,100580.0,7301.0,2385804.0,550.06,2663280.0,614.03,0
184,67984,1963-05-01,3949,101756.66666666667,7330.666666666667,2399774.3333333335,550.3733333333333,2679756.0,614.5799999999999,0
185,68844,1963-06-01,4554,102933.33333333333,7360.333333333333,2413744.6666666665,550.6866666666666,2696232.0,615.13,0
186,69225,1963-07-01,4140,104110.0,7390.0,2427715.0,551.0,2712708.0,615.68,0
187,69052,1963-08-01,3755,104692.66666666667,7388.0,2426032.0,547.0133333333333,2714028.6666666665,611.9399999999999,0
188,68567,1963-09-01,3470,105275.33333333333,7386.0,2424349.0,543.0266666666666,2715349.3333333335,608.2,0
189,68964,1963-10-01,3394,105858.0,7384.0,2422666.0,539.04,2716670.0,604.46,0
190,68471,1963-11-01,3858,106164.66666666667,7411.666666666667,2438185.6666666665,538.1366666666667,2733511.3333333335,603.3233333333334,0
191,67791,1963-12-01,3788,106471.33333333333,7439.333333333333,2453705.3333333335,537.2333333333333,2750352.6666666665,602.1866666666666,0
192,66468,1964-01-01,4518,106778.0,7467.0,2469225.0,536.33,2767194.0,601.05,0
193,67197,1964-02-01,4461,107123.0,7517.333333333333,2483968.6666666665,534.37,2785136.6666666665,599.1533333333333,0
194,67695,1964-03-01,4225,107468.0,7567.666666666667,2498712.3333333335,532.4100000000001,2803079.3333333335,597.2566666666667,0
195,68947,1964-04-01,3831,107813.0,7618.0,2513456.0,530.45,2821022.0,595.36,0
196,69952,1964-05-01,3528,108363.66666666667,7546.0,2528943.6666666665,530.82,2838780.3333333335,595.8533333333334,0
197,70448,1964-06-01,4453,108914.33333333333,7474.0,2544431.3333333335,531.1899999999999,2856538.6666666665,596.3466666666667,0
198,70839,1964-07-01,3675,109465.0,7402.0,2559919.0,531.56,2874297.0,596.84,0
199,70676,1964-08-01,3551,109453.33333333333,7443.0,2574673.0,532.01,2892048.0,597.5866666666667,0
200,69849,1964-09-01,3262,109441.66666666667,7484.0,2589427.0,532.4599999999999,2909799.0,598.3333333333334,0
201,70147,1964-10-01,3198,109430.0,7525.0,2604181.0,532.91,2927550.0,599.08,0
